,Tn,Tx,FFmax,RR,lat,lon
34209002,284.07328767123295,294.2620547945207,7.966301369863012,969.9000000000001,43.32,3.35
34217001,281.84589041095893,294.8004109589038,4.728219178082194,1236.0,43.72,3.86
34239002,283.50424657534273,294.7428767123287,7.885479452054794,966.4999999999999,43.66,3.51
34269001,283.804820936639,293.51831955922876,7.567493112947654,1183.3,43.39,2.86
34274001,281.6938356164384,293.6275342465754,5.936164383561644,1406.6000000000001,43.778999999999996,3.7289999999999996
34301002,286.5694444444446,293.0905555555556,7.343055555555556,822.9999999999998,43.4,3.69
34306001,284.68975155279503,293.8751552795031,9.738819875776395,1163.9,43.71,3.35
34311001,284.1395890410957,294.40835616438346,6.815890410958905,1017.4999999999999,43.438,3.4
38053003,281.9072602739727,291.01493150684934,6.447671232876715,794.8,45.608000000000004,5.309
38133001,282.15986301369855,291.9784931506852,4.582465753424657,1078.8,45.36,5.6
38191002,274.07717086834754,282.8012605042019,6.590476190476191,1089.6000000000001,45.09,6.09
38269004,276.0401369863012,289.30123287671245,6.153972602739725,1099.3,44.94,5.79
38336001,282.28839779005506,291.8613259668507,5.9419889502762455,688.6,45.48,4.81
38384001,280.12534246575336,290.8450684931503,6.573424657534245,831.3000000000001,45.36,5.31
38538002,281.1458904109588,292.4280821917809,4.907945205479451,1060.7,45.22,5.85
38548001,276.3527397260274,287.4798630136987,7.058082191780825,1252.6,45.08,5.56
42005001,279.771095890411,291.3932876712329,6.263561643835619,588.9,45.55,4.29
42039003,276.8527397260272,287.234383561644,6.5663013698630195,995.6000000000001,45.699,3.844
42101001,278.45054794520524,285.2694520547945,9.166301369863014,919.4999999999999,45.361000000000004,4.56
42207005,281.87493150684924,291.3442465753425,5.9347945205479435,610.5,45.49,4.53
42218011,280.74560439560423,290.03131868131874,5.760164835164832,728.4,45.45,4.36
42253001,280.55547945205484,291.0160273972603,6.0224657534246555,534.1,46.05,3.99
43046001,278.94260273972594,289.7061643835615,6.241095890410959,771.9999999999999,45.05,3.89
43062001,277.7423287671232,288.5206849315068,6.054794520547949,800.3000000000001,45.07,3.76
43096001,279.21,291.5445205479452,5.69726027397261,732.6,45.3,3.42
43111002,276.9072602739726,285.78205479452043,8.111506849315067,951.0000000000001,44.86,3.84
43130002,278.087808219178,285.8110958904108,9.026301369863017,1069.8000000000002,45.03,4.24
